"Busyness","Frequency","Prosociality","Willingness To Help"
"high",0.2,5.0,0.0
"medium",0.2,5.0,0.0
"free time",0.2,5.0,0.0
"high",0.4,3.4375,0.5
"medium",0.4,3.4375,0.0
"free time",0.4,3.4375,0.5
"high",1.0,3.0625,0.0
"medium",1.0,3.0625,0.0
"free time",1.0,3.0625,0.6
"high",0.8,4.625,0.0
"medium",0.8,4.625,0.75
"free time",0.8,4.625,1.0
"high",1.0,4.125,0.2
"medium",1.0,4.125,0.6
"free time",1.0,4.125,0.8
"high",0.2,4.0,1.0
"medium",0.2,4.0,1.0
"free time",0.2,4.0,1.0
"high",0.8,2.3125,0.0
"medium",0.8,2.3125,0.0
"free time",0.8,2.3125,1.0
"high",0.6,3.9375,0.6666666666666666
"medium",0.6,3.9375,0.0
"free time",0.6,3.9375,1.0
"high",0.4,3.8125,0.0
"medium",0.4,3.8125,0.0
"free time",0.4,3.8125,1.0
"high",0.2,4.125,0.0
"medium",0.2,4.125,1.0
"free time",0.2,4.125,0.0
"high",1.0,3.375,0.0
"medium",1.0,3.375,0.2
"free time",1.0,3.375,0.4
"high",0.2,3.6875,0.0
"medium",0.2,3.6875,0.0
"free time",0.2,3.6875,0.0
"high",0.8,4.3125,0.0
"medium",0.8,4.3125,1.0
"free time",0.8,4.3125,0.75
"high",0.4,3.1875,0.0
"medium",0.4,3.1875,0.0
"free time",0.4,3.1875,1.0
"high",0.6,4.0,0.0
"medium",0.6,4.0,0.6666666666666666
"free time",0.6,4.0,1.0
"high",1.0,4.25,0.0
"medium",1.0,4.25,0.0
"free time",1.0,4.25,0.0
"high",1.0,4.375,0.0
"medium",1.0,4.375,0.0
"free time",1.0,4.375,0.0
"high",0.6,3.625,1.0
"medium",0.6,3.625,1.0
"free time",0.6,3.625,1.0
"high",0.4,4.125,0.5
"medium",0.4,4.125,0.0
"free time",0.4,4.125,1.0
"high",0.4,3.9375,0.0
"medium",0.4,3.9375,0.5
"free time",0.4,3.9375,0.5
"high",0.6,3.6875,0.0
"medium",0.6,3.6875,0.0
"free time",0.6,3.6875,0.6666666666666666
"high",0.8,3.625,0.0
"medium",0.8,3.625,0.75
"free time",0.8,3.625,0.0
"high",0.8,4.375,0.5
"medium",0.8,4.375,0.75
"free time",0.8,4.375,1.0
"high",1.0,4.25,0.0
"medium",1.0,4.25,1.0
"free time",1.0,4.25,1.0
"high",0.4,4.375,0.5
"medium",0.4,4.375,1.0
"free time",0.4,4.375,1.0
"high",0.2,4.125,0.0
"medium",0.2,4.125,1.0
"free time",0.2,4.125,1.0
"high",0.6,3.5,0.0
"medium",0.6,3.5,0.0
"free time",0.6,3.5,0.0
"high",0.4,3.375,0.0
"medium",0.4,3.375,0.0
"free time",0.4,3.375,1.0
"high",1.0,3.875,0.0
"medium",1.0,3.875,0.0
"free time",1.0,3.875,0.0
"high",0.8,2.6875,0.0
"medium",0.8,2.6875,1.0
"free time",0.8,2.6875,1.0
"high",0.2,4.0625,0.0
"medium",0.2,4.0625,0.0
"free time",0.2,4.0625,0.0
"high",0.8,3.0,0.0
"medium",0.8,3.0,0.0
"free time",0.8,3.0,1.0
"high",0.6,3.5625,0.0
"medium",0.6,3.5625,0.0
"free time",0.6,3.5625,0.0
"high",1.0,3.8125,0.0
"medium",1.0,3.8125,0.0
"free time",1.0,3.8125,1.0
"high",0.2,2.375,0.0
"medium",0.2,2.375,1.0
"free time",0.2,2.375,1.0
"high",0.6,4.25,0.0
"medium",0.6,4.25,0.3333333333333333
"free time",0.6,4.25,1.0
"high",0.4,3.75,1.0
